smile,classe
O=C(N[C@@H](CC1=CC=CC=C1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCCN=C(N)N)CCCN=C(N)N,CHEBI_25676
[H][C@]12C[C@H](O)[C@H](C)[C@@]1([H])[C@@H](OC=C2C(O)=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEBI_76924
CCCCC\C=C/CC(=O)\C=C\C=C/C\C=C/CCCC(O)=O,CHEBI_75771
S(CC[C@H](N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(O)=O)CC(O)=O)C,CHEBI_16670
O=C(N[C@@H](CC=1NC=NC1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC2=CC=C(O)C=C2)CCCN=C(N)N,CHEBI_16670
CC(C)=CCc1c(O)cc(O)c2C(=O)C(COc12)c1ccc(O)cc1O,CHEBI_35610
CN(\C=C\CC=C)C(=O)CCCCCCCC\C=C\[C@H](CSSC[C@H](NC(C)=O)\C=C\CCCCCCCCC(=O)N(C)\C=C\CC=C)NC(C)=O,CHEBI_35610
CCCCCCCCCCCCCCCC(=O)OC(CCCCCCC)CCCCCCCCCC(O)=O,CHEBI_77746
C1=C(C(C=CN1C[C@@H](C(O)=O)N)=O)O,CHEBI_76924
[C@@H](COC(=O)*)(COP(OCC[N+](C)(C)C)(=O)[O-])O,CHEBI_77746
CCCCC\C=C/C\C=C/C\C=C/C=C/[C@H](CCCC([O-])=O)OO,CHEBI_77746
CCCC1COC(=O)CCN1CCC,CHEBI_25212
O=C1CCNC(=O)N1,CHEBI_75771
O=C(NCC(=O)N[C@@H](CCCN=C(N)N)C(O)=O)[C@@H](N)CC=1C=2C(NC1)=CC=CC2,CHEBI_16670
COc1nc(N)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,CHEBI_35610
[H][C@@]12CC[C@]3([H])C(=CC[C@]4(C)[C@]([H])([C@H](O)C[C@@]34C)[C@H](C)N(C)C)C=C1CC[C@H](NC)C2(C)C,CHEBI_25212
COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)cc2o1,CHEBI_76924
[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-],CHEBI_75771
CCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C,CHEBI_77746
O=C(N[C@@H](C)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)CC(O)=O,CHEBI_25676
[H][C@]12CC[C@]3(C)C(=O)CC[C@@]3([H])[C@]1([H])CCc1cc(OS([O-])(=O)=O)ccc21,CHEBI_77746
CC(C)=CCc1cc(ccc1O)-c1coc2cc(O)ccc2c1=O,CHEBI_35610
C(\CC)=C\C/C=C\C=C\[C@@H](C/C=C\C/C=C\CCCCCC(=O)[O-])O,CHEBI_75771
[H][C@@]1(CC[C@]2(C)[C@@H](O)[C@H](O)CC(=C)[C@@]2([H])C1)C(C)(O)CO,CHEBI_35610
COC1=CC(=O)C=C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C1=O,CHEBI_77746
[H][C@]12OC(=O)C(CCC=C(C)Cc3occ(C)c13)=C2,CHEBI_25212
O=C(N[C@@H](C(C)C)C(O)=O)[C@@H](NC(=O)[C@@H](N)C(C)C)[C@H](CC)C,CHEBI_25676
CCCC\C=C/CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC\C=C/CCCC,CHEBI_75771
S(CC[C@H](NC(=O)[C@@H](N)CC=1NC=NC1)C(=O)N[C@@H](CS)C(O)=O)C,CHEBI_25676
O=C(N[C@@H](C(C)C)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)N)CC(C)C,CHEBI_16670
O=C(N[C@@H](CC1=CC=CC=C1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC2=CC=C(O)C=C2)CCC(O)=O,CHEBI_16670
O(C(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)C,CHEBI_35610
S(CC[C@H](N)C(=O)N[C@@H](CC=1NC=NC1)C(=O)N[C@@H](CCC(=O)N)C(O)=O)C,CHEBI_16670
CC(=O)O[C@H]1C[C@]2(COC(=O)C2)O[C@@]2(C)[C@@H](OC(C)=O)[C@H](OC(=O)c3cccnc3)[C@]3(C)[C@H](CCC=C3C)[C@@]12C,CHEBI_35610
OC[C@H]1O[C@]2(CO[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O2)[C@@H](O)[C@@H]1O,CHEBI_25212
CCC(O)CO,CHEBI_25212
Nc1cc[nH]c(=O)n1,CHEBI_77746
O=C(N[C@@H](CC1=CC=C(O)C=C1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC=2NC=NC2)CC(O)=O,CHEBI_16670
S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)C(C)C)CC1=CC=CC=C1)C(O)=O)C,CHEBI_16670
OC(C([O-])=O)c1ccc(O)c(O)c1,CHEBI_77746
C1(=CC(O)=C2C(O[C@@H](CC2)C3=CC=C(C(=C3)O)O)=C1)O,CHEBI_76924
CCCCCCCC\C=C/CCCCCCCC(=O)OCCCC,CHEBI_77746
CC(C)[C@@H]1CC[C@@](C)(C=C)C(=C(C)C)C1=O,CHEBI_25212
O=C(N[C@@H](CC=1NC=NC1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC=2NC=NC2)CCC(O)=O,CHEBI_25676
N1C([C@@H](NC([C@]2(N(CCC2)C(=O)[C@@H](NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)C1)CC4=CC=C(C=C4)O)[H])=O)CC5=CC=CC=C5)=O,CHEBI_35610
SC[C@H](N)C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](CC=2NC=NC2)C(O)=O,CHEBI_16670
O=C(N[C@@H](CC(O)=O)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)CC(C)C,CHEBI_16670
CO[C@@H](\C=C\c1csc(n1)-c1csc(n1)C(C)C)[C@@H](C)C(\OC)=C/C(=O)OC,CHEBI_35610
O=C(N[C@@H](CCC(=O)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)CC=1NC=NC1,CHEBI_16670
CC(C)=CCC1=C(C(=O)C(O)=C(C1=O)c1c([nH]c2ccccc12)C(C)(C)C=C)c1c[nH]c2ccccc12,CHEBI_35610
[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])C(=O)C[C@@]1(C)[C@@]2([H])CC[C@]1(O)C(=O)CO,CHEBI_77746
Oc1cccc2C=CC(=O)OCc12,CHEBI_25212
SC[C@H](N)C(=O)N1[C@@H](CCC1)C(=O)N2[C@@H](CCC2)C(O)=O,CHEBI_25676
CC1C=C(CCCCCCCCCCCCCCCCC(C(CCCCCCCCCCCC)O)O)C(=O)O1,CHEBI_76924
CN1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(C)c(Nc2nc(cs2)-c2cccnc2)c1,CHEBI_35610
COc1ccc2c(oc3c4c(OC(C)C4(C)C)cc(O)c3c2=O)c1O,CHEBI_25212
P(OC[C@@H](CO/C=C\CCCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)(=O)(OCCN)O,CHEBI_75771
NC(=O)NCCCC[C@H]([NH3+])C([O-])=O,CHEBI_75771
[H][C@]12Cc3cc(cc(O)c3O[C@]1(C)CC[C@@H](O)C2(C)C)\C=C\c1cc(O)c(CC=C(C)C)c(O)c1,CHEBI_25212
